# optimal: 47249
# type: strongly_correlated
200 48874
698 688
629 619
888 878
853 843
263 253
558 548
96 86
431 421
455 445
433 423
179 169
156 146
458 448
906 896
757 747
910 900
220 210
120 110
864 854
759 749
533 523
670 660
528 518
375 365
286 276
600 590
722 712
160 150
412 402
500 490
627 617
800 790
756 746
388 378
542 532
89 79
25 15
551 541
541 531
576 566
772 762
303 293
775 765
734 724
162 152
158 148
528 518
942 932
188 178
817 807
865 855
923 913
762 752
37 27
206 196
454 444
120 110
728 718
794 784
28 18
991 981
889 879
656 646
959 949
729 719
39 29
75 65
565 555
63 53
629 619
790 780
593 583
606 596
64 54
299 289
900 890
211 201
244 234
915 905
75 65
244 234
707 697
304 294
593 583
315 305
254 244
861 851
552 542
797 787
219 209
359 349
154 144
339 329
987 977
679 669
102 92
706 696
503 493
498 488
1000 990
400 390
51 41
392 382
194 184
88 78
650 640
235 225
758 748
685 675
881 871
463 453
904 894
294 284
36 26
122 112
58 48
403 393
647 637
544 534
127 117
1008 998
898 888
353 343
1010 1000
837 827
862 852
223 213
928 918
266 256
62 52
113 103
974 964
945 935
508 498
898 888
463 453
917 907
943 933
371 361
47 37
322 312
757 747
120 110
525 515
11 1
199 189
700 690
784 774
100 90
645 635
994 984
548 538
565 555
588 578
662 652
807 797
30 20
734 724
472 462
253 243
34 24
46 36
257 247
838 828
229 219
273 263
659 649
421 411
822 812
834 824
969 959
883 873
336 326
647 637
564 554
230 220
283 273
282 272
515 505
230 220
25 15
142 132
467 457
63 53
656 646
509 499
655 645
204 194
454 444
771 761
184 174
30 20
255 245
659 649
500 490
591 581
932 922
842 832
149 139
859 849
