# reference: 120625
# type: strongly_correlated
500 124086
538 528
16 6
256 246
271 261
46 36
443 433
450 440
703 693
1007 997
643 633
647 637
188 178
488 478
977 967
536 526
512 502
267 257
839 829
728 718
438 428
612 602
491 481
116 106
16 6
892 882
231 221
781 771
588 578
752 742
162 152
265 255
542 532
918 908
156 146
389 379
583 573
350 340
549 539
806 796
570 560
262 252
201 191
953 943
261 251
67 57
787 777
295 285
484 474
662 652
511 501
375 365
532 522
443 433
100 90
45 35
352 342
1008 998
908 898
831 821
569 559
899 889
616 606
191 181
970 960
610 600
243 233
479 469
757 747
124 114
795 785
221 211
558 548
543 533
236 226
76 66
906 896
82 72
750 740
751 741
776 766
499 489
897 887
869 859
915 905
412 402
136 126
511 501
230 220
848 838
963 953
62 52
618 608
805 795
465 455
827 817
704 694
950 940
849 839
788 778
231 221
654 644
638 628
692 682
917 907
33 23
944 934
754 744
306 296
1007 997
86 76
416 406
616 606
163 153
378 368
71 61
672 662
145 135
107 97
798 788
463 453
44 34
570 560
284 274
20 10
775 765
360 350
873 863
580 570
27 17
188 178
778 768
550 540
374 364
678 668
910 900
74 64
777 767
182 172
807 797
587 577
928 918
440 430
219 209
757 747
366 356
255 245
137 127
27 17
675 665
608 598
135 125
53 43
311 301
798 788
797 787
137 127
726 716
506 496
441 431
506 496
149 139
72 62
144 134
434 424
140 130
308 298
260 250
445 435
397 387
110 100
205 195
502 492
210 200
607 597
745 735
668 658
257 247
406 396
579 569
733 723
922 912
218 208
452 442
259 249
310 300
192 182
971 961
799 789
345 335
723 713
229 219
282 272
28 18
730 720
951 941
400 390
419 409
987 977
63 53
501 491
915 905
621 611
137 127
919 909
571 561
514 504
246 236
321 311
1001 991
559 549
1005 995
624 614
967 957
520 510
166 156
25 15
167 157
345 335
682 672
260 250
16 6
831 821
410 400
422 412
24 14
898 888
89 79
905 895
825 815
748 738
780 770
872 862
510 500
944 934
721 711
715 705
977 967
822 812
37 27
581 571
275 265
331 321
634 624
871 861
635 625
997 987
793 783
664 654
188 178
780 770
877 867
168 158
75 65
434 424
218 208
449 439
199 189
704 694
193 183
304 294
281 271
51 41
951 941
307 297
529 519
123 113
1007 997
552 542
864 854
596 586
817 807
225 215
856 846
414 404
166 156
981 971
683 673
123 113
945 935
355 345
251 241
50 40
735 725
337 327
436 426
955 945
511 501
917 907
903 893
862 852
244 234
175 165
294 284
557 547
388 378
454 444
292 282
380 370
760 750
56 46
454 444
507 497
525 515
999 989
454 444
60 50
637 627
955 945
251 241
665 655
113 103
442 432
375 365
316 306
86 76
469 459
398 388
666 656
916 906
120 110
637 627
434 424
715 705
661 651
864 854
463 453
398 388
590 580
586 576
824 814
641 631
950 940
560 550
236 226
484 474
84 74
116 106
150 140
809 799
317 307
353 343
288 278
77 67
572 562
631 621
364 354
489 479
800 790
138 128
370 360
438 428
911 901
564 554
822 812
72 62
23 13
120 110
434 424
530 520
87 77
500 490
129 119
645 635
787 777
163 153
876 866
618 608
689 679
827 817
309 299
111 101
319 309
116 106
180 170
675 665
764 754
899 889
936 926
1010 1000
938 928
417 407
20 10
513 503
666 656
706 696
549 539
640 630
993 983
501 491
564 554
924 914
670 660
375 365
211 201
912 902
11 1
370 360
87 77
462 452
309 299
949 939
238 228
332 322
487 477
262 252
336 326
783 773
644 634
948 938
737 727
904 894
584 574
948 938
965 955
258 248
581 571
767 757
858 848
833 823
328 318
175 165
754 744
872 862
831 821
182 172
486 476
272 262
927 917
749 739
384 374
368 358
222 212
360 350
531 521
176 166
154 144
394 384
186 176
1007 997
767 757
670 660
83 73
164 154
559 549
913 903
901 891
613 603
125 115
895 885
698 688
716 706
781 771
868 858
176 166
1001 991
576 566
34 24
185 175
766 756
70 60
362 352
613 603
1006 996
1009 999
985 975
201 191
279 269
33 23
157 147
544 534
928 918
792 782
588 578
210 200
40 30
836 826
238 228
823 813
218 208
566 556
62 52
627 617
532 522
851 841
865 855
329 319
721 711
305 295
222 212
659 649
930 920
626 616
177 167
768 758
304 294
211 201
129 119
281 271
309 299
397 387
