# reference: 23776
# type: subset_sum
100 25034
877 877
33 33
820 820
859 859
609 609
179 179
909 909
319 319
760 760
736 736
830 830
182 182
231 231
534 534
1000 1000
59 59
650 650
202 202
572 572
55 55
458 458
593 593
291 291
750 750
924 924
637 637
34 34
35 35
447 447
852 852
194 194
248 248
948 948
725 725
923 923
73 73
124 124
685 685
940 940
890 890
649 649
60 60
914 914
283 283
966 966
707 707
663 663
437 437
302 302
297 297
234 234
650 650
28 28
341 341
585 585
332 332
94 94
249 249
997 997
12 12
51 51
606 606
836 836
455 455
125 125
468 468
403 403
291 291
780 780
434 434
274 274
874 874
34 34
386 386
278 278
988 988
892 892
937 937
903 903
423 423
189 189
983 983
207 207
20 20
529 529
930 930
508 508
466 466
623 623
804 804
922 922
190 190
803 803
969 969
493 493
202 202
118 118
243 243
72 72
373 373
