# optimal: 43450
# type: subset_sum
200 45763
376 376
260 260
32 32
425 425
182 182
676 676
453 453
409 409
803 803
699 699
454 454
975 975
518 518
265 265
183 183
122 122
477 477
680 680
304 304
837 837
816 816
762 762
389 389
943 943
633 633
116 116
360 360
218 218
83 83
441 441
843 843
583 583
359 359
489 489
20 20
488 488
860 860
864 864
848 848
161 161
549 549
7 7
701 701
274 274
543 543
553 553
170 170
948 948
734 734
756 756
99 99
270 270
958 958
457 457
240 240
261 261
889 889
486 486
986 986
788 788
134 134
509 509
729 729
739 739
94 94
153 153
421 421
205 205
261 261
319 319
192 192
101 101
525 525
783 783
874 874
682 682
482 482
439 439
57 57
182 182
170 170
375 375
137 137
129 129
149 149
374 374
156 156
46 46
195 195
283 283
543 543
911 911
265 265
580 580
195 195
272 272
914 914
737 737
39 39
265 265
462 462
958 958
70 70
237 237
206 206
773 773
317 317
175 175
140 140
182 182
498 498
928 928
454 454
768 768
310 310
462 462
350 350
148 148
344 344
933 933
458 458
31 31
784 784
506 506
105 105
734 734
95 95
791 791
739 739
645 645
916 916
81 81
637 637
158 158
280 280
209 209
746 746
40 40
528 528
589 589
585 585
551 551
421 421
324 324
540 540
570 570
810 810
222 222
237 237
174 174
321 321
752 752
325 325
959 959
457 457
665 665
144 144
845 845
459 459
533 533
858 858
179 179
782 782
470 470
494 494
820 820
170 170
42 42
156 156
679 679
910 910
892 892
329 329
175 175
987 987
429 429
251 251
81 81
369 369
608 608
975 975
993 993
290 290
322 322
113 113
113 113
636 636
557 557
404 404
580 580
596 596
530 530
327 327
854 854
51 51
69 69
820 820
192 192
726 726
325 325
