# optimal: 386201
# type: uncorrelated
1000 247801
1 374
994 748
845 400
568 559
135 358
381 752
747 574
368 176
386 659
420 676
243 670
423 66
155 357
543 906
874 505
857 36
866 480
857 539
569 930
153 781
52 489
380 604
805 521
967 405
630 625
815 176
207 591
810 512
957 185
393 106
235 601
427 275
90 333
480 348
153 371
448 376
919 901
421 867
383 341
733 359
770 300
573 248
17 630
95 353
805 833
51 287
538 761
657 32
703 661
365 467
569 188
810 209
50 240
662 268
704 595
676 351
788 354
612 381
723 784
71 526
619 141
511 315
547 344
939 361
268 832
457 702
584 386
874 93
315 885
281 196
335 554
756 769
551 865
675 449
724 599
192 249
343 780
804 188
569 204
472 318
780 592
979 305
114 94
159 907
89 76
918 306
736 972
137 812
181 400
65 373
625 531
875 453
250 447
118 228
362 167
37 891
103 176
339 481
22 173
914 675
712 765
320 405
537 29
678 662
566 923
515 719
776 407
155 226
893 226
966 491
444 643
232 827
714 13
254 88
854 924
200 480
561 600
395 816
85 950
588 407
578 486
95 342
158 967
465 675
975 48
889 795
822 428
669 881
48 311
814 504
305 448
595 964
673 724
613 894
21 182
494 741
191 41
9 770
120 866
477 253
869 487
200 884
188 519
177 824
63 218
872 733
278 324
760 236
698 280
376 48
395 705
560 502
329 969
251 770
339 640
393 478
524 181
18 138
771 531
368 525
739 955
483 616
604 596
858 670
877 505
345 835
915 246
647 659
578 573
31 57
568 83
214 103
786 436
825 690
214 869
454 447
217 845
50 696
131 530
401 672
647 191
747 659
488 64
912 205
938 496
2 802
859 366
461 656
792 298
184 900
980 512
464 132
144 315
440 828
589 911
5 671
189 469
408 281
540 813
420 899
168 938
132 332
884 921
446 555
142 528
60 949
778 964
577 355
532 779
772 203
416 626
417 162
59 762
486 639
637 792
746 92
196 249
987 57
138 982
371 414
334 98
55 392
670 408
376 810
207 802
696 650
94 213
603 532
716 959
762 545
934 114
989 347
589 80
123 620
39 139
958 71
624 803
301 910
228 355
867 485
824 165
998 852
638 460
18 2
867 234
669 760
670 55
226 75
99 372
363 809
997 678
776 47
913 765
279 504
160 371
64 451
18 803
113 719
281 406
308 354
662 246
98 14
663 2
330 652
8 975
935 9
243 279
527 516
970 159
520 18
893 568
820 587
968 391
957 629
183 841
177 585
825 625
632 219
347 50
513 194
26 234
478 899
538 792
861 19
533 463
163 452
492 288
736 49
817 805
597 612
732 646
895 102
486 33
245 674
889 300
931 490
873 504
740 400
570 558
530 524
203 413
638 562
223 15
835 784
110 74
552 491
910 768
622 36
261 775
409 787
936 958
100 593
481 101
921 848
970 633
255 376
449 492
75 198
282 703
921 591
878 486
715 69
117 208
618 24
696 653
777 585
205 777
381 676
664 882
259 540
607 314
326 690
324 158
492 568
950 848
348 28
635 456
530 466
957 204
55 154
115 301
293 397
980 238
379 101
276 191
737 767
820 93
998 213
743 502
253 553
788 773
544 39
421 784
865 914
119 2
624 861
941 834
374 967
639 730
565 672
144 146
326 343
378 858
777 957
832 383
362 972
546 450
916 630
97 89
243 237
105 880
431 77
547 916
558 119
102 29
253 774
85 122
994 459
969 91
542 314
57 669
988 79
472 393
304 151
786 542
722 26
134 400
740 112
808 190
543 277
868 20
132 810
457 68
956 674
612 343
641 568
298 822
417 821
965 931
639 558
136 928
5 653
952 1
442 111
402 615
96 211
245 326
395 725
992 386
301 63
312 632
212 678
354 624
716 874
203 757
350 249
182 333
85 752
267 676
423 461
352 965
536 63
148 997
487 465
696 184
512 875
782 177
320 50
872 751
957 170
122 774
999 603
721 283
708 728
649 757
598 787
238 744
289 759
748 210
13 51
404 317
870 321
975 693
707 582
371 802
947 850
985 70
521 980
782 363
343 437
859 989
556 908
23 652
83 656
949 68
5 241
49 976
896 60
748 140
375 488
43 576
119 850
829 603
786 777
523 361
710 907
531 864
60 125
814 529
621 361
458 904
978 368
388 806
504 379
420 131
162 375
260 221
723 831
590 369
624 313
947 601
608 268
220 915
149 167
784 889
375 274
608 130
479 248
156 155
48 610
30 242
185 660
215 608
685 534
221 203
170 1000
534 48
650 973
582 944
467 832
486 706
315 997
758 679
601 212
711 302
235 774
567 410
505 429
200 202
175 10
924 840
735 887
348 129
624 363
128 410
925 634
888 96
933 888
654 914
458 724
727 345
872 668
132 101
112 495
357 734
883 215
517 962
433 523
883 533
798 602
677 582
143 713
1000 519
147 694
436 75
419 853
243 500
102 935
966 44
567 233
588 983
63 84
518 317
972 453
685 250
436 645
412 322
979 95
625 266
279 829
252 849
533 452
892 225
875 356
527 534
384 19
844 82
657 411
823 581
676 142
802 672
335 610
847 242
167 582
329 812
116 414
863 930
996 243
187 657
918 82
83 976
678 659
807 474
10 371
574 310
526 476
941 552
992 719
546 35
764 796
952 151
75 680
91 797
222 520
239 146
310 887
395 72
463 819
957 580
132 705
288 133
902 724
775 634
410 998
439 595
227 43
192 705
39 423
129 879
401 196
910 189
683 32
701 444
523 114
878 402
666 592
490 713
769 788
546 379
559 252
942 411
851 869
313 269
132 731
460 923
991 968
523 772
754 464
613 471
29 935
45 566
359 857
754 274
652 935
349 611
577 900
289 822
256 706
332 229
859 879
196 13
495 626
91 65
426 593
11 647
269 211
665 970
951 808
501 782
536 86
888 575
817 48
675 991
563 666
54 259
784 574
575 548
563 166
466 320
518 526
874 944
346 800
483 163
394 568
292 291
848 825
972 900
730 402
476 855
375 929
834 221
313 107
856 611
821 153
714 105
966 896
447 145
764 139
885 64
262 305
517 781
986 920
800 320
119 334
143 636
153 833
257 128
612 213
576 602
507 826
239 809
357 569
545 261
970 909
344 422
352 115
719 215
619 898
714 702
886 678
689 452
721 324
15 902
373 871
352 60
372 941
421 465
209 657
595 89
958 480
535 307
469 286
829 779
642 67
526 173
623 149
830 762
804 988
444 270
716 220
519 902
128 205
720 686
34 633
387 155
520 286
191 176
487 313
751 711
947 453
173 684
288 126
551 792
385 972
737 769
153 477
13 152
143 357
239 129
614 86
323 434
944 570
30 589
305 229
681 974
844 849
540 393
841 57
236 648
696 440
915 810
304 693
63 667
320 784
554 290
130 9
202 222
784 941
854 751
57 269
40 567
43 952
199 377
339 497
922 279
894 695
147 264
156 466
792 153
606 674
541 399
92 476
646 424
191 743
197 584
893 602
674 477
873 942
116 859
98 697
294 892
167 449
647 168
419 477
511 893
681 503
988 846
16 229
186 355
668 832
827 485
514 933
691 96
52 300
708 159
714 93
508 894
183 823
302 233
321 964
860 596
623 126
227 579
367 160
420 202
953 998
627 91
312 116
629 987
701 689
891 885
859 592
740 459
571 71
232 227
315 498
204 983
421 59
445 268
382 556
107 953
516 872
500 630
275 246
874 411
612 480
642 393
333 562
320 629
610 469
95 334
317 610
315 612
35 467
88 281
826 271
954 419
102 297
563 455
93 816
607 624
859 698
801 936
820 268
675 592
400 737
829 799
795 667
407 884
36 389
190 166
636 98
771 453
514 700
338 713
757 390
158 86
559 627
217 960
346 18
131 575
810 970
336 915
955 142
127 517
24 42
701 713
716 213
434 919
748 365
772 133
799 376
334 418
584 296
857 708
336 742
25 933
339 362
335 532
742 134
652 594
243 299
318 29
7 975
337 132
539 568
20 335
645 500
215 627
847 552
883 325
937 852
205 24
571 458
235 556
506 156
791 359
537 86
89 712
738 824
666 948
389 30
369 586
562 899
218 107
469 791
133 369
647 362
492 547
676 980
24 544
542 175
685 159
928 518
830 256
844 265
873 15
192 271
617 653
402 858
760 960
8 52
290 648
433 39
529 54
250 438
998 928
992 735
68 497
581 760
530 413
211 730
913 318
3 616
122 329
144 167
639 302
951 435
229 947
265 764
362 809
290 185
27 758
867 680
656 487
175 408
351 171
89 493
191 425
211 182
596 743
852 307
590 552
721 97
634 743
121 728
127 571
773 764
55 736
912 164
391 623
967 28
188 379
504 988
239 44
72 578
238 108
504 2
149 438
815 536
472 61
938 459
653 767
386 428
38 593
195 491
4 808
349 456
468 601
367 439
214 292
948 38
258 52
27 963
43 443
172 826
158 323
921 429
472 457
269 269
815 664
33 958
96 984
23 888
830 678
481 214
293 25
561 710
777 952
112 702
268 932
775 618
761 63
890 135
833 741
207 954
787 165
151 949
416 473
817 43
