# reference: 74115
# type: uncorrelated
200 48671
892 533
161 986
217 982
45 456
369 349
937 83
6 726
535 786
343 948
708 105
10 52
813 974
522 678
982 729
947 847
151 146
741 895
95 691
611 606
738 116
859 607
828 354
8 686
962 12
107 553
827 810
446 890
802 336
864 265
615 228
774 497
357 151
55 550
920 42
462 223
695 147
434 753
295 106
456 236
118 385
760 359
960 111
91 888
186 99
179 152
282 803
351 230
999 382
280 255
623 906
392 236
610 952
987 850
457 106
253 450
332 740
806 461
797 308
27 350
47 793
340 923
420 131
569 451
859 370
110 469
632 789
415 578
858 331
522 689
107 421
308 676
147 878
36 933
576 375
156 591
815 354
50 426
526 777
908 367
385 49
309 555
47 513
514 248
313 512
791 148
744 307
189 61
731 225
273 512
288 285
292 327
263 463
131 789
46 687
871 498
63 503
142 474
525 227
834 551
773 665
189 931
610 44
372 911
950 707
997 748
497 116
590 105
67 561
996 795
195 492
52 272
507 42
732 88
838 148
687 55
11 526
253 162
515 507
534 443
306 967
680 649
593 356
256 251
1 745
920 921
99 823
19 532
63 297
216 698
45 104
273 170
16 172
318 782
989 845
408 322
332 221
505 422
95 81
173 23
440 353
135 642
468 682
211 712
599 865
55 568
108 887
495 147
924 16
697 392
245 743
465 211
748 145
883 863
776 935
610 339
348 981
455 974
113 446
148 752
808 551
752 751
61 575
679 598
262 875
27 271
203 52
445 721
774 674
252 688
933 351
218 257
659 749
181 863
549 248
681 507
222 826
20 973
782 254
173 518
182 732
56 152
747 834
434 996
823 410
505 404
41 14
703 458
410 634
566 476
115 172
322 524
543 439
971 100
907 206
606 288
678 242
881 733
122 712
526 260
300 489
