# reference: 270179
# type: weakly_correlated
1000 260108
511 493
838 931
586 651
442 438
294 196
733 821
144 97
372 362
382 320
148 105
230 300
379 279
807 783
885 810
949 1000
864 832
78 10
722 681
274 292
937 868
587 490
931 872
946 889
527 537
684 646
482 443
580 639
483 492
562 593
358 350
337 268
500 570
665 749
565 573
395 477
1006 935
11 77
535 500
148 76
605 653
482 479
234 259
427 461
71 137
531 514
848 933
924 882
72 121
92 160
462 451
126 208
365 287
208 148
620 584
171 151
111 150
386 409
454 393
339 403
361 298
34 110
39 67
701 730
848 800
419 500
340 318
757 801
1 27
571 660
578 575
639 662
132 45
584 596
147 205
526 554
173 121
425 401
395 332
457 543
302 273
338 416
372 407
989 950
149 50
88 106
49 119
86 129
509 486
288 291
501 526
686 702
539 507
254 161
482 532
448 487
497 582
1 34
888 916
41 43
805 727
74 159
721 755
361 359
229 326
728 807
259 296
754 725
658 648
576 620
217 226
727 649
475 561
320 342
104 11
354 430
706 650
551 553
743 661
372 315
306 356
59 121
832 889
60 157
798 889
255 223
517 606
105 33
782 829
427 450
188 153
489 446
980 906
808 789
616 641
678 693
783 852
671 663
373 372
425 330
618 572
311 383
940 930
626 539
862 824
389 306
469 567
115 132
559 469
775 787
807 760
226 223
569 485
867 867
701 636
1018 931
478 561
96 63
846 829
901 887
1009 914
196 97
440 509
644 697
1 54
135 67
889 935
371 408
614 677
155 77
733 683
648 684
353 258
74 139
856 866
373 384
934 889
270 170
492 467
724 752
185 104
37 109
1 64
152 152
728 634
147 233
310 269
664 566
268 225
887 866
719 717
1 55
537 465
168 191
150 185
761 815
797 732
981 944
444 374
1 46
563 569
323 398
26 98
606 635
898 994
917 929
355 338
425 394
70 126
106 123
40 39
692 763
207 299
578 588
802 900
229 224
507 563
648 713
240 209
856 845
59 84
1 91
484 571
668 637
888 797
859 918
98 153
964 947
1067 993
524 590
699 734
824 887
786 789
638 637
304 391
524 453
361 385
969 959
391 410
764 862
803 803
899 848
498 509
1 37
686 648
484 467
529 542
582 674
564 634
739 761
90 123
277 217
857 818
956 959
862 822
464 407
493 504
701 638
3 34
438 490
102 122
668 758
259 291
215 184
640 734
895 948
96 125
42 82
449 537
291 303
600 661
1066 976
561 650
944 989
325 347
292 365
207 259
686 706
314 385
270 209
1 30
646 584
943 891
862 788
386 325
417 385
551 609
778 719
943 916
844 904
657 687
602 619
681 748
1057 993
193 197
470 475
745 820
887 822
697 752
279 289
388 350
434 533
940 949
953 989
942 993
695 751
780 750
763 708
1 52
760 723
795 805
615 667
963 887
513 444
885 872
876 973
949 870
71 83
448 511
659 689
969 980
73 105
469 446
952 865
873 972
34 81
21 91
692 762
672 634
819 788
713 782
902 841
614 516
889 978
226 298
705 791
561 499
429 400
891 866
800 805
409 450
701 739
635 634
1043 964
975 976
51 150
886 896
93 25
870 888
553 573
220 247
1019 974
1 15
73 152
726 746
793 739
546 568
934 837
972 1000
785 759
938 866
941 982
394 329
112 81
350 352
731 669
142 177
87 37
590 639
133 134
296 223
585 605
68 120
499 528
836 865
350 254
647 744
606 546
189 151
648 659
134 217
349 249
658 586
523 534
118 126
704 789
865 786
557 565
379 378
8 78
383 409
380 419
196 211
122 98
19 90
125 111
954 974
