# optimal: 28524
# type: weakly_correlated
100 27523
433 495
717 809
959 924
311 409
568 551
328 421
808 898
920 966
519 587
666 654
224 308
328 367
581 563
699 678
132 184
488 501
67 126
544 587
857 915
307 332
441 377
823 827
275 213
846 829
27 38
699 677
771 688
631 595
722 814
54 46
316 305
828 792
20 57
267 349
521 503
89 98
256 272
195 238
121 89
255 303
666 665
179 126
859 901
558 485
258 210
942 895
769 770
559 609
974 914
396 403
433 365
882 970
924 865
968 920
742 731
879 915
483 555
99 49
372 273
791 811
860 953
603 693
605 681
399 313
939 869
1027 960
353 281
483 430
547 614
499 485
464 468
371 456
401 341
476 521
853 833
281 290
621 611
144 98
982 886
832 849
1047 972
33 19
326 381
708 625
504 408
274 295
651 566
849 818
410 369
783 838
500 581
290 194
664 631
1034 948
530 477
650 551
643 704
804 857
781 717
567 647
